record_date,player_name,form_filled_for_the_day,form_filled_by
"Tuesday, Feb 20, 2024",Sajeevan Sajana,Yes,Player
"Tuesday, Feb 20, 2024",Sathyamoorthy Keerthana,Yes,Player
"Tuesday, Feb 20, 2024",Priyanka Bala,Yes,Player
"Tuesday, Feb 20, 2024",Amandeep Kaur,Yes,Player
"Tuesday, Feb 20, 2024",Fatima Jaffer,No,NA
"Saturday, Feb 24, 2024",Nat Sciver-Brunt,No,NA
"Saturday, Feb 24, 2024",Jintimani Kalita,No,NA
"Saturday, Feb 24, 2024",Issy Wong,No,NA
"Saturday, Feb 24, 2024",Humaira Kazi,No,NA
"Saturday, Feb 24, 2024",Hayley Matthews,No,NA
"Saturday, Feb 24, 2024",Harmanpreet Kaur,No,NA
"Saturday, Feb 24, 2024",Amelia Kerr,No,NA
"Saturday, Feb 24, 2024",Yastika Bhatia,Yes,Player
"Saturday, Feb 24, 2024",Amanjot Kaur,No,NA
"Saturday, Feb 24, 2024",Saika Ishaque,No,NA
"Saturday, Feb 24, 2024",Pooja Vastrakar,No,NA
"Saturday, Feb 24, 2024",Shabnim Ismail,Yes,Player
"Saturday, Feb 24, 2024",Chloe Tryon,Yes,Player
"Saturday, Feb 24, 2024",Sajeevan Sajana,Yes,Player
"Saturday, Feb 24, 2024",Sathyamoorthy Keerthana,Yes,Player
"Saturday, Feb 24, 2024",Priyanka Bala,No,NA
"Saturday, Feb 24, 2024",Amandeep Kaur,No,NA
"Saturday, Feb 24, 2024",Fatima Jaffer,No,NA
"Tuesday, Feb 13, 2024",Nat Sciver-Brunt,No,NA
"Tuesday, Feb 13, 2024",Jintimani Kalita,No,NA
"Tuesday, Feb 13, 2024",Issy Wong,No,NA
"Tuesday, Feb 13, 2024",Humaira Kazi,No,NA
"Tuesday, Feb 13, 2024",Hayley Matthews,No,NA
"Tuesday, Feb 13, 2024",Harmanpreet Kaur,No,NA
"Tuesday, Feb 13, 2024",Amelia Kerr,No,NA
"Tuesday, Feb 13, 2024",Yastika Bhatia,Yes,Player
"Tuesday, Feb 13, 2024",Amanjot Kaur,Yes,Player
"Tuesday, Feb 13, 2024",Saika Ishaque,Yes,Player
"Tuesday, Feb 13, 2024",Pooja Vastrakar,No,NA
"Tuesday, Feb 13, 2024",Shabnim Ismail,Yes,Player
"Tuesday, Feb 13, 2024",Chloe Tryon,No,NA
"Tuesday, Feb 13, 2024",Sajeevan Sajana,No,NA
"Tuesday, Feb 13, 2024",Sathyamoorthy Keerthana,Yes,Player
"Tuesday, Feb 13, 2024",Priyanka Bala,Yes,Player
"Tuesday, Feb 13, 2024",Amandeep Kaur,No,NA
"Tuesday, Feb 13, 2024",Fatima Jaffer,No,NA
"Saturday, Feb 17, 2024",Nat Sciver-Brunt,No,NA
"Saturday, Feb 17, 2024",Jintimani Kalita,Yes,Player
"Saturday, Feb 17, 2024",Issy Wong,Yes,Player
"Saturday, Feb 17, 2024",Humaira Kazi,Yes,Player
"Saturday, Feb 17, 2024",Hayley Matthews,No,NA
"Saturday, Feb 17, 2024",Harmanpreet Kaur,No,NA
"Saturday, Feb 17, 2024",Amelia Kerr,No,NA
"Saturday, Feb 17, 2024",Yastika Bhatia,Yes,Player
"Saturday, Feb 17, 2024",Amanjot Kaur,No,NA
"Saturday, Feb 17, 2024",Saika Ishaque,No,NA
"Saturday, Feb 17, 2024",Pooja Vastrakar,No,NA
"Saturday, Feb 17, 2024",Shabnim Ismail,Yes,Player
"Saturday, Feb 17, 2024",Chloe Tryon,No,NA
"Saturday, Feb 17, 2024",Sajeevan Sajana,Yes,Player
"Saturday, Feb 17, 2024",Sathyamoorthy Keerthana,Yes,Player
"Saturday, Feb 17, 2024",Priyanka Bala,No,NA
"Saturday, Feb 17, 2024",Amandeep Kaur,No,NA
"Saturday, Feb 17, 2024",Fatima Jaffer,Yes,Player
"Friday, Feb 23, 2024",Nat Sciver-Brunt,No,NA
"Friday, Feb 23, 2024",Jintimani Kalita,No,NA
"Friday, Feb 23, 2024",Issy Wong,No,NA
"Friday, Feb 23, 2024",Humaira Kazi,No,NA
"Friday, Feb 23, 2024",Hayley Matthews,No,NA
"Friday, Feb 23, 2024",Harmanpreet Kaur,No,NA
"Friday, Feb 23, 2024",Amelia Kerr,No,NA
"Friday, Feb 23, 2024",Yastika Bhatia,Yes,Player
"Friday, Feb 23, 2024",Amanjot Kaur,No,NA
"Friday, Feb 23, 2024",Saika Ishaque,No,NA
"Friday, Feb 23, 2024",Pooja Vastrakar,No,NA
"Friday, Feb 23, 2024",Shabnim Ismail,Yes,Player
"Friday, Feb 23, 2024",Chloe Tryon,Yes,Player
"Friday, Feb 23, 2024",Sajeevan Sajana,Yes,Player
"Friday, Feb 23, 2024",Sathyamoorthy Keerthana,Yes,Player
"Friday, Feb 23, 2024",Priyanka Bala,No,NA
"Friday, Feb 23, 2024",Amandeep Kaur,No,NA
"Friday, Feb 23, 2024",Fatima Jaffer,No,NA
"Sunday, Feb 18, 2024",Nat Sciver-Brunt,No,NA
"Sunday, Feb 18, 2024",Jintimani Kalita,Yes,Player
"Sunday, Feb 18, 2024",Issy Wong,No,NA
"Sunday, Feb 18, 2024",Humaira Kazi,No,NA
"Sunday, Feb 18, 2024",Hayley Matthews,No,NA
"Sunday, Feb 18, 2024",Harmanpreet Kaur,No,NA
"Sunday, Feb 18, 2024",Amelia Kerr,No,NA
"Sunday, Feb 18, 2024",Yastika Bhatia,Yes,Player
"Sunday, Feb 18, 2024",Amanjot Kaur,No,NA
"Sunday, Feb 18, 2024",Saika Ishaque,No,NA
"Sunday, Feb 18, 2024",Pooja Vastrakar,No,NA
"Sunday, Feb 18, 2024",Shabnim Ismail,Yes,Player
"Sunday, Feb 18, 2024",Chloe Tryon,No,NA
"Sunday, Feb 18, 2024",Sajeevan Sajana,Yes,Player
"Sunday, Feb 18, 2024",Sathyamoorthy Keerthana,Yes,Player
"Sunday, Feb 18, 2024",Priyanka Bala,Yes,Player
"Sunday, Feb 18, 2024",Amandeep Kaur,Yes,Player
"Sunday, Feb 18, 2024",Fatima Jaffer,Yes,Player
"Thursday, Feb 15, 2024",Nat Sciver-Brunt,No,NA
"Thursday, Feb 15, 2024",Jintimani Kalita,Yes,Player
"Thursday, Feb 15, 2024",Issy Wong,No,NA
"Thursday, Feb 15, 2024",Humaira Kazi,Yes,Player
"Thursday, Feb 15, 2024",Hayley Matthews,No,NA
"Thursday, Feb 15, 2024",Harmanpreet Kaur,No,NA
"Thursday, Feb 15, 2024",Amelia Kerr,No,NA
"Thursday, Feb 15, 2024",Yastika Bhatia,Yes,Player
"Thursday, Feb 15, 2024",Amanjot Kaur,No,NA
"Thursday, Feb 15, 2024",Saika Ishaque,Yes,Player
"Thursday, Feb 15, 2024",Pooja Vastrakar,No,NA
"Thursday, Feb 15, 2024",Shabnim Ismail,Yes,Player
"Thursday, Feb 15, 2024",Chloe Tryon,No,NA
"Thursday, Feb 15, 2024",Sajeevan Sajana,No,NA
"Thursday, Feb 15, 2024",Sathyamoorthy Keerthana,Yes,Player
"Thursday, Feb 15, 2024",Priyanka Bala,No,NA
"Thursday, Feb 15, 2024",Amandeep Kaur,No,NA
"Thursday, Feb 15, 2024",Fatima Jaffer,Yes,Player
"Wednesday, Feb 14, 2024",Nat Sciver-Brunt,No,NA
"Wednesday, Feb 14, 2024",Jintimani Kalita,No,NA
"Wednesday, Feb 14, 2024",Issy Wong,No,NA
"Wednesday, Feb 14, 2024",Humaira Kazi,Yes,Player
"Wednesday, Feb 14, 2024",Hayley Matthews,No,NA
"Wednesday, Feb 14, 2024",Harmanpreet Kaur,No,NA
"Wednesday, Feb 14, 2024",Amelia Kerr,No,NA
"Wednesday, Feb 14, 2024",Yastika Bhatia,Yes,Player
"Wednesday, Feb 14, 2024",Amanjot Kaur,No,NA
"Wednesday, Feb 14, 2024",Saika Ishaque,Yes,Player
"Wednesday, Feb 14, 2024",Pooja Vastrakar,No,NA
"Wednesday, Feb 14, 2024",Shabnim Ismail,Yes,Player
"Wednesday, Feb 14, 2024",Chloe Tryon,No,NA
"Wednesday, Feb 14, 2024",Sajeevan Sajana,Yes,Player
"Wednesday, Feb 14, 2024",Sathyamoorthy Keerthana,Yes,Player
"Wednesday, Feb 14, 2024",Priyanka Bala,Yes,Player
"Wednesday, Feb 14, 2024",Amandeep Kaur,No,NA
"Wednesday, Feb 14, 2024",Fatima Jaffer,Yes,Player
"Thursday, Feb 29, 2024",Nat Sciver-Brunt,No,NA
"Thursday, Feb 29, 2024",Jintimani Kalita,No,NA
"Thursday, Feb 29, 2024",Issy Wong,No,NA
"Thursday, Feb 29, 2024",Humaira Kazi,Yes,Player
"Thursday, Feb 29, 2024",Hayley Matthews,No,NA
"Thursday, Feb 29, 2024",Harmanpreet Kaur,No,NA
"Thursday, Feb 29, 2024",Amelia Kerr,No,NA
"Thursday, Feb 29, 2024",Yastika Bhatia,Yes,Player
"Thursday, Feb 29, 2024",Amanjot Kaur,No,NA
"Thursday, Feb 29, 2024",Saika Ishaque,Yes,Player
"Thursday, Feb 29, 2024",Pooja Vastrakar,No,NA
"Thursday, Feb 29, 2024",Shabnim Ismail,No,NA
"Thursday, Feb 29, 2024",Chloe Tryon,No,NA
"Thursday, Feb 29, 2024",Sajeevan Sajana,Yes,Player
"Thursday, Feb 29, 2024",Sathyamoorthy Keerthana,Yes,Player
"Thursday, Feb 29, 2024",Priyanka Bala,No,NA
"Thursday, Feb 29, 2024",Amandeep Kaur,No,NA
"Thursday, Feb 29, 2024",Fatima Jaffer,Yes,Player
"Tuesday, Feb 27, 2024",Nat Sciver-Brunt,Yes,Player
"Tuesday, Feb 27, 2024",Jintimani Kalita,No,NA
"Tuesday, Feb 27, 2024",Issy Wong,No,NA
"Tuesday, Feb 27, 2024",Humaira Kazi,No,NA
"Tuesday, Feb 27, 2024",Hayley Matthews,No,NA
"Tuesday, Feb 27, 2024",Harmanpreet Kaur,No,NA
"Tuesday, Feb 27, 2024",Amelia Kerr,No,NA
"Tuesday, Feb 27, 2024",Yastika Bhatia,Yes,Player
"Tuesday, Feb 27, 2024",Amanjot Kaur,No,NA
"Tuesday, Feb 27, 2024",Saika Ishaque,No,NA
"Tuesday, Feb 27, 2024",Pooja Vastrakar,No,NA
"Tuesday, Feb 27, 2024",Shabnim Ismail,Yes,Player
"Tuesday, Feb 27, 2024",Chloe Tryon,Yes,Player
"Tuesday, Feb 27, 2024",Sajeevan Sajana,Yes,Player
"Tuesday, Feb 27, 2024",Sathyamoorthy Keerthana,Yes,Player
"Tuesday, Feb 27, 2024",Priyanka Bala,No,NA
"Tuesday, Feb 27, 2024",Amandeep Kaur,No,NA
"Tuesday, Feb 27, 2024",Fatima Jaffer,Yes,Player
"Thursday, Feb 22, 2024",Nat Sciver-Brunt,Yes,Player
"Thursday, Feb 22, 2024",Jintimani Kalita,No,NA
"Thursday, Feb 22, 2024",Issy Wong,No,NA
"Thursday, Feb 22, 2024",Humaira Kazi,No,NA
"Thursday, Feb 22, 2024",Hayley Matthews,No,NA
"Thursday, Feb 22, 2024",Harmanpreet Kaur,No,NA
"Thursday, Feb 22, 2024",Amelia Kerr,No,NA
"Thursday, Feb 22, 2024",Yastika Bhatia,Yes,Player
"Thursday, Feb 22, 2024",Amanjot Kaur,No,NA
"Thursday, Feb 22, 2024",Saika Ishaque,No,NA
"Thursday, Feb 22, 2024",Pooja Vastrakar,No,NA
"Thursday, Feb 22, 2024",Shabnim Ismail,Yes,Player
"Thursday, Feb 22, 2024",Chloe Tryon,Yes,Player
"Thursday, Feb 22, 2024",Sajeevan Sajana,Yes,Player
"Thursday, Feb 22, 2024",Sathyamoorthy Keerthana,Yes,Player
"Thursday, Feb 22, 2024",Priyanka Bala,No,NA
"Thursday, Feb 22, 2024",Amandeep Kaur,No,NA
"Thursday, Feb 22, 2024",Fatima Jaffer,No,NA
"Monday, Feb 19, 2024",Nat Sciver-Brunt,No,NA
"Monday, Feb 19, 2024",Jintimani Kalita,Yes,Player
"Monday, Feb 19, 2024",Issy Wong,No,NA
"Monday, Feb 19, 2024",Humaira Kazi,No,NA
"Monday, Feb 19, 2024",Hayley Matthews,Yes,Player
"Monday, Feb 19, 2024",Harmanpreet Kaur,No,NA
"Monday, Feb 19, 2024",Amelia Kerr,No,NA
"Monday, Feb 19, 2024",Yastika Bhatia,Yes,Player
"Monday, Feb 19, 2024",Amanjot Kaur,No,NA
"Monday, Feb 19, 2024",Saika Ishaque,No,NA
"Monday, Feb 19, 2024",Pooja Vastrakar,No,NA
"Monday, Feb 19, 2024",Shabnim Ismail,Yes,Player
"Monday, Feb 19, 2024",Chloe Tryon,No,NA
"Monday, Feb 19, 2024",Sajeevan Sajana,Yes,Player
"Monday, Feb 19, 2024",Sathyamoorthy Keerthana,Yes,Player
"Monday, Feb 19, 2024",Priyanka Bala,Yes,Player
"Monday, Feb 19, 2024",Amandeep Kaur,Yes,Player
"Monday, Feb 19, 2024",Fatima Jaffer,Yes,Player
"Friday, Mar 01, 2024",Nat Sciver-Brunt,No,NA
"Friday, Mar 01, 2024",Jintimani Kalita,Yes,Player
"Friday, Mar 01, 2024",Issy Wong,No,NA
"Friday, Mar 01, 2024",Humaira Kazi,No,NA
"Friday, Mar 01, 2024",Hayley Matthews,No,NA
"Friday, Mar 01, 2024",Harmanpreet Kaur,No,NA
"Friday, Mar 01, 2024",Amelia Kerr,No,NA
"Friday, Mar 01, 2024",Yastika Bhatia,Yes,Player
"Friday, Mar 01, 2024",Amanjot Kaur,No,NA
"Friday, Mar 01, 2024",Saika Ishaque,No,NA
"Friday, Mar 01, 2024",Pooja Vastrakar,No,NA
"Friday, Mar 01, 2024",Shabnim Ismail,No,NA
"Friday, Mar 01, 2024",Chloe Tryon,No,NA
"Friday, Mar 01, 2024",Sajeevan Sajana,No,NA
"Friday, Mar 01, 2024",Sathyamoorthy Keerthana,No,NA
"Friday, Mar 01, 2024",Priyanka Bala,No,NA
"Friday, Mar 01, 2024",Amandeep Kaur,No,NA
"Friday, Mar 01, 2024",Fatima Jaffer,Yes,Player
"Wednesday, Feb 28, 2024",Nat Sciver-Brunt,No,NA
"Wednesday, Feb 28, 2024",Jintimani Kalita,No,NA
"Wednesday, Feb 28, 2024",Issy Wong,No,NA
"Wednesday, Feb 28, 2024",Humaira Kazi,No,NA
"Wednesday, Feb 28, 2024",Hayley Matthews,No,NA
"Wednesday, Feb 28, 2024",Harmanpreet Kaur,No,NA
"Wednesday, Feb 28, 2024",Amelia Kerr,No,NA
"Wednesday, Feb 28, 2024",Yastika Bhatia,Yes,Player
"Wednesday, Feb 28, 2024",Amanjot Kaur,No,NA
"Wednesday, Feb 28, 2024",Saika Ishaque,No,NA
"Wednesday, Feb 28, 2024",Pooja Vastrakar,No,NA
"Wednesday, Feb 28, 2024",Shabnim Ismail,Yes,Player
"Wednesday, Feb 28, 2024",Chloe Tryon,Yes,Player
"Wednesday, Feb 28, 2024",Sajeevan Sajana,Yes,Player
"Wednesday, Feb 28, 2024",Sathyamoorthy Keerthana,Yes,Player
"Wednesday, Feb 28, 2024",Priyanka Bala,No,NA
"Wednesday, Feb 28, 2024",Amandeep Kaur,No,NA
"Wednesday, Feb 28, 2024",Fatima Jaffer,Yes,Player
"Friday, Feb 16, 2024",Nat Sciver-Brunt,No,NA
"Friday, Feb 16, 2024",Jintimani Kalita,No,NA
"Friday, Feb 16, 2024",Issy Wong,No,NA
"Friday, Feb 16, 2024",Humaira Kazi,Yes,Player
"Friday, Feb 16, 2024",Hayley Matthews,No,NA
"Friday, Feb 16, 2024",Harmanpreet Kaur,No,NA
"Friday, Feb 16, 2024",Amelia Kerr,No,NA
"Friday, Feb 16, 2024",Yastika Bhatia,Yes,Player
"Friday, Feb 16, 2024",Amanjot Kaur,No,NA
"Friday, Feb 16, 2024",Saika Ishaque,No,NA
"Friday, Feb 16, 2024",Pooja Vastrakar,No,NA
"Friday, Feb 16, 2024",Shabnim Ismail,Yes,Player
"Friday, Feb 16, 2024",Chloe Tryon,No,NA
"Friday, Feb 16, 2024",Sajeevan Sajana,Yes,Player
"Friday, Feb 16, 2024",Sathyamoorthy Keerthana,Yes,Player
"Friday, Feb 16, 2024",Priyanka Bala,Yes,Player
"Friday, Feb 16, 2024",Amandeep Kaur,No,NA
"Friday, Feb 16, 2024",Fatima Jaffer,No,NA
"Sunday, Feb 25, 2024",Nat Sciver-Brunt,No,NA
"Sunday, Feb 25, 2024",Jintimani Kalita,No,NA
"Sunday, Feb 25, 2024",Issy Wong,No,NA
"Sunday, Feb 25, 2024",Humaira Kazi,No,NA
"Sunday, Feb 25, 2024",Hayley Matthews,No,NA
"Sunday, Feb 25, 2024",Harmanpreet Kaur,No,NA
"Sunday, Feb 25, 2024",Amelia Kerr,No,NA
"Sunday, Feb 25, 2024",Yastika Bhatia,Yes,Player
"Sunday, Feb 25, 2024",Amanjot Kaur,No,NA
"Sunday, Feb 25, 2024",Saika Ishaque,No,NA
"Sunday, Feb 25, 2024",Pooja Vastrakar,No,NA
"Sunday, Feb 25, 2024",Shabnim Ismail,Yes,Player
"Sunday, Feb 25, 2024",Chloe Tryon,Yes,Player
"Sunday, Feb 25, 2024",Sajeevan Sajana,Yes,Player
"Sunday, Feb 25, 2024",Sathyamoorthy Keerthana,Yes,Player
"Sunday, Feb 25, 2024",Priyanka Bala,No,NA
"Sunday, Feb 25, 2024",Amandeep Kaur,No,NA
"Sunday, Feb 25, 2024",Fatima Jaffer,Yes,Player
"Saturday, Feb 10, 2024",Nat Sciver-Brunt,No,NA
"Saturday, Feb 10, 2024",Jintimani Kalita,No,NA
"Saturday, Feb 10, 2024",Issy Wong,No,NA
"Saturday, Feb 10, 2024",Humaira Kazi,No,NA
"Saturday, Feb 10, 2024",Hayley Matthews,No,NA
"Saturday, Feb 10, 2024",Harmanpreet Kaur,No,NA
"Saturday, Feb 10, 2024",Amelia Kerr,No,NA
"Saturday, Feb 10, 2024",Yastika Bhatia,Yes,Player
"Saturday, Feb 10, 2024",Amanjot Kaur,No,NA
"Saturday, Feb 10, 2024",Saika Ishaque,Yes,Player
"Saturday, Feb 10, 2024",Pooja Vastrakar,No,NA
"Saturday, Feb 10, 2024",Shabnim Ismail,No,NA
"Saturday, Feb 10, 2024",Chloe Tryon,No,NA
"Saturday, Feb 10, 2024",Sajeevan Sajana,No,NA
"Saturday, Feb 10, 2024",Sathyamoorthy Keerthana,No,NA
"Saturday, Feb 10, 2024",Priyanka Bala,Yes,Player
"Saturday, Feb 10, 2024",Amandeep Kaur,No,NA
"Saturday, Feb 10, 2024",Fatima Jaffer,No,NA
