player_name,team_name,competition_name
John Turner,PAARL ROYALS,SA20
Mitchell Van Buuren,PAARL ROYALS,SA20
Dane Vilas,PAARL ROYALS,SA20
Eathan Bosch,PRETORIA CAPTIALS,SA20
Matthew Boast,PRETORIA CAPTIALS,SA20
Corbin Bosch,PRETORIA CAPTIALS,SA20
Shane Dadswell,PRETORIA CAPTIALS,SA20
Theunis de Bruyn,PRETORIA CAPTIALS,SA20
Daryn Dupavillon,PRETORIA CAPTIALS,SA20
Colin Ingram,PRETORIA CAPTIALS,SA20
Will Jacks,PRETORIA CAPTIALS,SA20
Senuran Muthusamy,PRETORIA CAPTIALS,SA20
James Neesham,PRETORIA CAPTIALS,SA20
Anrich Nortje,PRETORIA CAPTIALS,SA20
Wayne Parnell,PRETORIA CAPTIALS,SA20
Migael Pretorius,PRETORIA CAPTIALS,SA20
Adil Rashid,PRETORIA CAPTIALS,SA20
Rilee Rossouw,PRETORIA CAPTIALS,SA20
Paul Stirling,PRETORIA CAPTIALS,SA20
Steve Stolk,PRETORIA CAPTIALS,SA20
Kyle Verreynne,PRETORIA CAPTIALS,SA20
Phil Salt,PRETORIA CAPTIALS,SA20
Aiden Markram,SUNRISERS EASTERN SQUAD,SA20
Tom Abell,SUNRISERS EASTERN SQUAD,SA20
Ottniel Baartman,SUNRISERS EASTERN SQUAD,SA20
Temba Bavuma,SUNRISERS EASTERN SQUAD,SA20
Brydon Carse,SUNRISERS EASTERN SQUAD,SA20
Liam Dawson,SUNRISERS EASTERN SQUAD,SA20
Sarel Erwee,SUNRISERS EASTERN SQUAD,SA20
Ayabulela Gqamane,SUNRISERS EASTERN SQUAD,SA20
Simon Harmer,SUNRISERS EASTERN SQUAD,SA20
Jordan Hermann,SUNRISERS EASTERN SQUAD,SA20
Marco Jansen,SUNRISERS EASTERN SQUAD,SA20
Sisanda Magala,SUNRISERS EASTERN SQUAD,SA20
Dawid Malan,SUNRISERS EASTERN SQUAD,SA20
Craig Overton,SUNRISERS EASTERN SQUAD,SA20
Adam Rossington,SUNRISERS EASTERN SQUAD,SA20
Caleb Seleka,SUNRISERS EASTERN SQUAD,SA20
Andile Simelane,SUNRISERS EASTERN SQUAD,SA20
Tristan Stubbs,SUNRISERS EASTERN SQUAD,SA20
Beyers Swanepoel,SUNRISERS EASTERN SQUAD,SA20
Patrick Kruger,SUNRISERS EASTERN SQUAD,SA20
Daniel Worrall,SUNRISERS EASTERN SQUAD,SA20
Adhitya Shetty,ABU DHABI KNIGHT RIDERS,ILT20
Ali Khan,ABU DHABI KNIGHT RIDERS,ILT20
Charith Asalanka,ABU DHABI KNIGHT RIDERS,ILT20
Ravi Bopara,ABU DHABI KNIGHT RIDERS,ILT20
Joe Clarke,ABU DHABI KNIGHT RIDERS,ILT20
Marchant de Lange,ABU DHABI KNIGHT RIDERS,ILT20
Laurie Evans,ABU DHABI KNIGHT RIDERS,ILT20
Sam Hain,ABU DHABI KNIGHT RIDERS,ILT20
Jake Lintott,ABU DHABI KNIGHT RIDERS,ILT20
Josh Little,ABU DHABI KNIGHT RIDERS,ILT20
Matiullah Khan,ABU DHABI KNIGHT RIDERS,ILT20
Brandon McMullen,ABU DHABI KNIGHT RIDERS,ILT20
Sunil Narine,ABU DHABI KNIGHT RIDERS,ILT20
Michael Pepper,ABU DHABI KNIGHT RIDERS,ILT20
Andre Russell,ABU DHABI KNIGHT RIDERS,ILT20
Sabir Ali,ABU DHABI KNIGHT RIDERS,ILT20
Alishan Sharafu,ABU DHABI KNIGHT RIDERS,ILT20
David Willey,ABU DHABI KNIGHT RIDERS,ILT20
Ali Naseer,DESERT VIPERS,ILT20
Aryan Lakra,DESERT VIPERS,ILT20
Azam Khan,DESERT VIPERS,ILT20
Dinesh Chandimal,DESERT VIPERS,ILT20
Sheldon Cottrell,DESERT VIPERS,ILT20
Tom Curran,DESERT VIPERS,ILT20
Bas de Leede,DESERT VIPERS,ILT20
Wanindu Hasaranga,DESERT VIPERS,ILT20
Alex Hales,DESERT VIPERS,ILT20
Adam Hose,DESERT VIPERS,ILT20
Michael Jones,DESERT VIPERS,ILT20
Karthik Meiyappan,DESERT VIPERS,ILT20
Tymal Mills,DESERT VIPERS,ILT20
Colin Munro,DESERT VIPERS,ILT20
Matheesha Pathirana,DESERT VIPERS,ILT20
Rohan Mustafa,DESERT VIPERS,ILT20
Sherfane Rutherford,DESERT VIPERS,ILT20
Shadab Khan,DESERT VIPERS,ILT20
Shaheen Shah Afridi,DESERT VIPERS,ILT20
Luke Wood,DESERT VIPERS,ILT20
Gus Atkinson,DESERT VIPERS,ILT20
Akif Raja,DUBAI CAPITALS,ILT20
Vriitya Aravind,DUBAI CAPITALS,ILT20
Sam Billings,DUBAI CAPITALS,ILT20
Dushmantha Chameera,DUBAI CAPITALS,ILT20
Rahul Chopra,DUBAI CAPITALS,ILT20
Haider Ali,DUBAI CAPITALS,ILT20
Max Holden,DUBAI CAPITALS,ILT20
Mohammad Mohsin,DUBAI CAPITALS,ILT20
Rovman Powell,DUBAI CAPITALS,ILT20
Rahmanullah Gurbaz,DUBAI CAPITALS,ILT20
Joe Root,DUBAI CAPITALS,ILT20
Sadeera Samarawickrama,DUBAI CAPITALS,ILT20
Dasun Shanaka,DUBAI CAPITALS,ILT20
Sikandar Raza,DUBAI CAPITALS,ILT20
Nuwan Thushara,DUBAI CAPITALS,ILT20
Andrew Tye,DUBAI CAPITALS,ILT20
Roelof van der Merwe,DUBAI CAPITALS,ILT20
David Warner,DUBAI CAPITALS,ILT20
Mark Wood,DUBAI CAPITALS,ILT20
Aayan Afzal Khan,GULF GIANTS,ILT20
Carlos Brathwaite,GULF GIANTS,ILT20
Jordan Cox,GULF GIANTS,ILT20
Dominic Drakes,GULF GIANTS,ILT20
Gerhard Erasmus,GULF GIANTS,ILT20
Richard Gleeson,GULF GIANTS,ILT20
Shimron Hetmyer,GULF GIANTS,ILT20
Chris Jordan,GULF GIANTS,ILT20
Karim Janat,GULF GIANTS,ILT20
Chris Lynn,GULF GIANTS,ILT20
Mujeeb Ur Rahman,GULF GIANTS,ILT20
Saurabh Netravalkar,GULF GIANTS,ILT20
Jamie Overton,GULF GIANTS,ILT20
Rehan Ahmed,GULF GIANTS,ILT20
Sanchit Sharma,GULF GIANTS,ILT20
Jamie Smith,GULF GIANTS,ILT20
Usman Khan,GULF GIANTS,ILT20
James Vince,GULF GIANTS,ILT20
Zuhaib Zubair,GULF GIANTS,ILT20
Corey Anderson,MI EMIRATES,ILT20
Asif Khan,MI EMIRATES,ILT20
Trent Boult,MI EMIRATES,ILT20
Dwayne Bravo,MI EMIRATES,ILT20
McKenny Clarke,MI EMIRATES,ILT20
Fazalhaq Farooqi,MI EMIRATES,ILT20
Andre Fletcher,MI EMIRATES,ILT20
Akeal Hosein,MI EMIRATES,ILT20
Nosthush Kenjige,MI EMIRATES,ILT20
Dan Mousley,MI EMIRATES,ILT20
Muhammad Rohid,MI EMIRATES,ILT20
Muhammad Waseem,MI EMIRATES,ILT20
Kusal Perera,MI EMIRATES,ILT20
Kieron Pollard,MI EMIRATES,ILT20
Nicholas Pooran,MI EMIRATES,ILT20
Ambati Rayudu,MI EMIRATES,ILT20
Will Smeed,MI EMIRATES,ILT20
Odean Smith,MI EMIRATES,ILT20
Jordan Thompson,MI EMIRATES,ILT20
Vijayakanth Viyaskanth,MI EMIRATES,ILT20
Waqar Salamkheil,MI EMIRATES,ILT20
Zahoor Khan,MI EMIRATES,ILT20
Tim David,MI EMIRATES,ILT20
Basil Hameed,SHARJAH WARRIORS,ILT20
Johnson Charles,SHARJAH WARRIORS,ILT20
Joe Denly,SHARJAH WARRIORS,ILT20
Mark Deyal,SHARJAH WARRIORS,ILT20
James Fuller,SHARJAH WARRIORS,ILT20
Lewis Gregory,SHARJAH WARRIORS,ILT20
Martin Guptill,SHARJAH WARRIORS,ILT20
Junaid Siddique,SHARJAH WARRIORS,ILT20
Tom Kohler-Cadmore,SHARJAH WARRIORS,ILT20
Dilshan Madushanka,SHARJAH WARRIORS,ILT20
Kusal Mendis,SHARJAH WARRIORS,ILT20
Muhammad Jawadullah,SHARJAH WARRIORS,ILT20
Nilansh Keswani,SHARJAH WARRIORS,ILT20
Qais Ahmad,SHARJAH WARRIORS,ILT20
Daniel Sams,SHARJAH WARRIORS,ILT20
Chris Sole,SHARJAH WARRIORS,ILT20
Maheesh Theekshana,SHARJAH WARRIORS,ILT20
Mark Watt,SHARJAH WARRIORS,ILT20
Sean Williams,SHARJAH WARRIORS,ILT20
Chris Woakes,SHARJAH WARRIORS,ILT20
Ashwani Kumari,DELHI CAPITALS WOMEN,WPL
Taniya Bhatia,DELHI CAPITALS WOMEN,WPL
Alice Capsey,DELHI CAPITALS WOMEN,WPL
Laura Harris,DELHI CAPITALS WOMEN,WPL
Jess Jonassen,DELHI CAPITALS WOMEN,WPL
Marizanne Kapp,DELHI CAPITALS WOMEN,WPL
Meg Lanning,DELHI CAPITALS WOMEN,WPL
Minnu Mani,DELHI CAPITALS WOMEN,WPL
Aparna Mondal,DELHI CAPITALS WOMEN,WPL
Shikha Pandey,DELHI CAPITALS WOMEN,WPL
Poonam Yadav,DELHI CAPITALS WOMEN,WPL
Arundhati Reddy,DELHI CAPITALS WOMEN,WPL
Jemimah Rodrigues,DELHI CAPITALS WOMEN,WPL
Titas Sadhu,DELHI CAPITALS WOMEN,WPL
Shafali Verma,DELHI CAPITALS WOMEN,WPL
Sneha Deepthi,DELHI CAPITALS WOMEN,WPL
Annabel Sutherland,DELHI CAPITALS WOMEN,WPL
Radha Yadav,DELHI CAPITALS WOMEN,WPL
Kathryn Bryce,GUJARAT GIANTS WOMEN,WPL
Lauren Cheatle,GUJARAT GIANTS WOMEN,WPL
Harleen Deol,GUJARAT GIANTS WOMEN,WPL
Ashleigh Gardner,GUJARAT GIANTS WOMEN,WPL
Kashvee Gautam,GUJARAT GIANTS WOMEN,WPL
Dayalan Hemalatha,GUJARAT GIANTS WOMEN,WPL
Tanuja Kanwar,GUJARAT GIANTS WOMEN,WPL
Mannat Kashyap,GUJARAT GIANTS WOMEN,WPL
Veda Krishnamurthy,GUJARAT GIANTS WOMEN,WPL
Phoebe Litchfield,GUJARAT GIANTS WOMEN,WPL
Meghna Singh,GUJARAT GIANTS WOMEN,WPL
Beth Mooney,GUJARAT GIANTS WOMEN,WPL
Tarannum Pathan,GUJARAT GIANTS WOMEN,WPL
Yeadukondala Poojitha,GUJARAT GIANTS WOMEN,WPL
Priya Mishra,GUJARAT GIANTS WOMEN,WPL
Sneh Rana,GUJARAT GIANTS WOMEN,WPL
Shabnam Shakil,GUJARAT GIANTS WOMEN,WPL
Laura Wolvaardt,GUJARAT GIANTS WOMEN,WPL
Priyanka Bala,MUMBAI INDIANS WOMEN,WPL
Yastika Bhatia,MUMBAI INDIANS WOMEN,WPL
Saika Ishaque,MUMBAI INDIANS WOMEN,WPL
Shabnim Ismail,MUMBAI INDIANS WOMEN,WPL
Fatima Jaffer,MUMBAI INDIANS WOMEN,WPL
Jintimani Kalita,MUMBAI INDIANS WOMEN,WPL
Amanjot Kaur,MUMBAI INDIANS WOMEN,WPL
Harmanpreet Kaur,MUMBAI INDIANS WOMEN,WPL
Amandeep Kaur,MUMBAI INDIANS WOMEN,WPL
Humaira Kazi,MUMBAI INDIANS WOMEN,WPL
Sathyamoorthy Keerthana,MUMBAI INDIANS WOMEN,WPL
Amelia Kerr,MUMBAI INDIANS WOMEN,WPL
Hayley Matthews,MUMBAI INDIANS WOMEN,WPL
Sajeevan Sajana,MUMBAI INDIANS WOMEN,WPL
Nat Sciver-Brunt,MUMBAI INDIANS WOMEN,WPL
Chloe Tryon,MUMBAI INDIANS WOMEN,WPL
Pooja Vastrakar,MUMBAI INDIANS WOMEN,WPL
Issy Wong,MUMBAI INDIANS WOMEN,WPL
Kanika Ahuja,ROYAL CHALLENGERS BANGALORE WOMEN,WPL
Sobhana Asha,ROYAL CHALLENGERS BANGALORE WOMEN,WPL
Simran Bahadur,ROYAL CHALLENGERS BANGALORE WOMEN,WPL
Ekta Bisht,ROYAL CHALLENGERS BANGALORE WOMEN,WPL
Kate Cross,ROYAL CHALLENGERS BANGALORE WOMEN,WPL
Sophie Devine,ROYAL CHALLENGERS BANGALORE WOMEN,WPL
Richa Ghosh,ROYAL CHALLENGERS BANGALORE WOMEN,WPL
Disha Kasat,ROYAL CHALLENGERS BANGALORE WOMEN,WPL
Heather Knight,ROYAL CHALLENGERS BANGALORE WOMEN,WPL
Smriti Mandhana,ROYAL CHALLENGERS BANGALORE WOMEN,WPL
Sabbhineni Meghana,ROYAL CHALLENGERS BANGALORE WOMEN,WPL
Sophie Molineux,ROYAL CHALLENGERS BANGALORE WOMEN,WPL
Shreyanka Patil,ROYAL CHALLENGERS BANGALORE WOMEN,WPL
Ellyse Perry,ROYAL CHALLENGERS BANGALORE WOMEN,WPL
Renuka Singh,ROYAL CHALLENGERS BANGALORE WOMEN,WPL
Indrani Roy,ROYAL CHALLENGERS BANGALORE WOMEN,WPL
Satheesh Shubha,ROYAL CHALLENGERS BANGALORE WOMEN,WPL
Georgia Wareham,ROYAL CHALLENGERS BANGALORE WOMEN,WPL
Anjali Sarvani,UP WARRIORZ WOMEN,WPL
Lauren Bell,UP WARRIORZ WOMEN,WPL
Parshavi Chopra,UP WARRIORZ WOMEN,WPL
Sophie Ecclestone,UP WARRIORZ WOMEN,WPL
Rajeshwari Gayakwad,UP WARRIORZ WOMEN,WPL
Grace Harris,UP WARRIORZ WOMEN,WPL
Alyssa Healy,UP WARRIORZ WOMEN,WPL
Poonam Khemnar,UP WARRIORZ WOMEN,WPL
Tahlia McGrath,UP WARRIORZ WOMEN,WPL
Kiran Navgire,UP WARRIORZ WOMEN,WPL
Shweta Sehrawat,UP WARRIORZ WOMEN,WPL
Deepti Sharma,UP WARRIORZ WOMEN,WPL
Gouher Sultana,UP WARRIORZ WOMEN,WPL
Saima Thakor,UP WARRIORZ WOMEN,WPL
Dinesh Vrinda,UP WARRIORZ WOMEN,WPL
Danni Wyatt,UP WARRIORZ WOMEN,WPL
Laxmi Yadav,UP WARRIORZ WOMEN,WPL
Soppadhandi Yashasri,UP WARRIORZ WOMEN,WPL
MS Dhoni,CHENNAI SUPER KINGS,IPL
Devon Conway,CHENNAI SUPER KINGS,IPL
Ruturaj Gaikwad,CHENNAI SUPER KINGS,IPL
Ajinkya Rahane,CHENNAI SUPER KINGS,IPL
Shaik Rasheed,CHENNAI SUPER KINGS,IPL
Sameer Rizvi,CHENNAI SUPER KINGS,IPL
Aravelly Avanish,CHENNAI SUPER KINGS,IPL
Ravindra Jadeja,CHENNAI SUPER KINGS,IPL
Mitchell Santner,CHENNAI SUPER KINGS,IPL
Moeen Ali,CHENNAI SUPER KINGS,IPL
Shivam Dube,CHENNAI SUPER KINGS,IPL
Nishant Sindhu,CHENNAI SUPER KINGS,IPL
Ajay Mandal,CHENNAI SUPER KINGS,IPL
Rachin Ravindra,CHENNAI SUPER KINGS,IPL
Shardul Thakur,CHENNAI SUPER KINGS,IPL
Daryl Mitchell,CHENNAI SUPER KINGS,IPL
Rajvardhan Hangargekar,CHENNAI SUPER KINGS,IPL
Deepak Chahar,CHENNAI SUPER KINGS,IPL
Maheesh Theekshana,CHENNAI SUPER KINGS,IPL
Mukesh Choudhary,CHENNAI SUPER KINGS,IPL
Mustafizur Rahman,CHENNAI SUPER KINGS,IPL
Prashant Solanki,CHENNAI SUPER KINGS,IPL
Simarjeet Singh,CHENNAI SUPER KINGS,IPL
Tushar Deshpande,CHENNAI SUPER KINGS,IPL
Matheesha Pathirana,CHENNAI SUPER KINGS,IPL
Rishabh Pant,DELHI CAPITALS,IPL
David Warner,DELHI CAPITALS,IPL
Prithvi Shaw,DELHI CAPITALS,IPL
Yash Dhull,DELHI CAPITALS,IPL
Shai Hope,DELHI CAPITALS,IPL
Swastik Chikara,DELHI CAPITALS,IPL
Abishek Porel,DELHI CAPITALS,IPL
Harry Brook,DELHI CAPITALS,IPL
Ricky Bhui,DELHI CAPITALS,IPL
Kumar Kushagra,DELHI CAPITALS,IPL
Tristan Stubbs,DELHI CAPITALS,IPL
Axar Patel,DELHI CAPITALS,IPL
Lalit Yadav,DELHI CAPITALS,IPL
Mitchell Marsh,DELHI CAPITALS,IPL
Sumit Kumar,DELHI CAPITALS,IPL
Praveen Dubey,DELHI CAPITALS,IPL
Vicky Ostwal,DELHI CAPITALS,IPL
Anrich Nortje,DELHI CAPITALS,IPL
Kuldeep Yadav,DELHI CAPITALS,IPL
Lungi Ngidi,DELHI CAPITALS,IPL
Khaleel Ahmed,DELHI CAPITALS,IPL
Ishant Sharma,DELHI CAPITALS,IPL
Jhye Richardson,DELHI CAPITALS,IPL
Mukesh Kumar,DELHI CAPITALS,IPL
Rasikh Salam,DELHI CAPITALS,IPL
David Miller,GUJARAT TITANS,IPL
Shubman Gill,GUJARAT TITANS,IPL
Matthew Wade,GUJARAT TITANS,IPL
Wriddhiman Saha,GUJARAT TITANS,IPL
Robin Minz,GUJARAT TITANS,IPL
Kane Williamson,GUJARAT TITANS,IPL
Abhinav Manohar,GUJARAT TITANS,IPL
Sai Sudharsan,GUJARAT TITANS,IPL
Darshan Nalkande,GUJARAT TITANS,IPL
Vijay Shankar,GUJARAT TITANS,IPL
Azmatullah Omarzai,GUJARAT TITANS,IPL
M Shahrukh Khan,GUJARAT TITANS,IPL
Jayant Yadav,GUJARAT TITANS,IPL
Rahul Tewatia,GUJARAT TITANS,IPL
Mohammed Shami,GUJARAT TITANS,IPL
Kartik Tyagi,GUJARAT TITANS,IPL
Sushant Mishra,GUJARAT TITANS,IPL
Spencer Johnson,GUJARAT TITANS,IPL
Noor Ahmad,GUJARAT TITANS,IPL
Sai Kishore,GUJARAT TITANS,IPL
Umesh Yadav,GUJARAT TITANS,IPL
Rashid Khan,GUJARAT TITANS,IPL
Josh Little,GUJARAT TITANS,IPL
Mohit Sharma,GUJARAT TITANS,IPL
Manav Suthar,GUJARAT TITANS,IPL
Nitish Rana,KOLKATA KNIGHT RIDERS,IPL
Rinku Singh,KOLKATA KNIGHT RIDERS,IPL
Rahmanullah Gurbaz,KOLKATA KNIGHT RIDERS,IPL
Shreyas Iyer,KOLKATA KNIGHT RIDERS,IPL
Sherfane Rutherford,KOLKATA KNIGHT RIDERS,IPL
Srikar Bharat,KOLKATA KNIGHT RIDERS,IPL
Manish Pandey,KOLKATA KNIGHT RIDERS,IPL
Phil Salt,KOLKATA KNIGHT RIDERS,IPL
Angkrish Raghuvanshi,KOLKATA KNIGHT RIDERS,IPL
Anukul Roy,KOLKATA KNIGHT RIDERS,IPL
Ramandeep Singh,KOLKATA KNIGHT RIDERS,IPL
Andre Russell,KOLKATA KNIGHT RIDERS,IPL
Venkatesh Iyer,KOLKATA KNIGHT RIDERS,IPL
Suyash Sharma,KOLKATA KNIGHT RIDERS,IPL
Mujeeb Ur Rahman,KOLKATA KNIGHT RIDERS,IPL
Gus Atkinson,KOLKATA KNIGHT RIDERS,IPL
Sakib Hussain,KOLKATA KNIGHT RIDERS,IPL
Harshit Rana,KOLKATA KNIGHT RIDERS,IPL
Sunil Narine,KOLKATA KNIGHT RIDERS,IPL
Vaibhav Arora,KOLKATA KNIGHT RIDERS,IPL
Varun Chakravarthy,KOLKATA KNIGHT RIDERS,IPL
Mitchell Starc,KOLKATA KNIGHT RIDERS,IPL
Chetan Sakariya,KOLKATA KNIGHT RIDERS,IPL
KL Rahul,LUCKNOW SUPER GIANTS,IPL
Devdutt Padikkal,LUCKNOW SUPER GIANTS,IPL
Quinton de Kock,LUCKNOW SUPER GIANTS,IPL
Nicholas Pooran,LUCKNOW SUPER GIANTS,IPL
Ashton Turner,LUCKNOW SUPER GIANTS,IPL
Ayush Badoni,LUCKNOW SUPER GIANTS,IPL
Deepak Hooda,LUCKNOW SUPER GIANTS,IPL
Krishnappa Gowtham,LUCKNOW SUPER GIANTS,IPL
Krunal Pandya,LUCKNOW SUPER GIANTS,IPL
Kyle Mayers,LUCKNOW SUPER GIANTS,IPL
Marcus Stoinis,LUCKNOW SUPER GIANTS,IPL
Arshad Khan,LUCKNOW SUPER GIANTS,IPL
Prerak Mankad,LUCKNOW SUPER GIANTS,IPL
Yudhvir Singh,LUCKNOW SUPER GIANTS,IPL
Arshin Kulkarni,LUCKNOW SUPER GIANTS,IPL
David Willey,LUCKNOW SUPER GIANTS,IPL
Shivam Mavi,LUCKNOW SUPER GIANTS,IPL
Mark Wood,LUCKNOW SUPER GIANTS,IPL
Mayank Yadav,LUCKNOW SUPER GIANTS,IPL
Mohsin Khan,LUCKNOW SUPER GIANTS,IPL
Ravi Bishnoi,LUCKNOW SUPER GIANTS,IPL
Yash Thakur,LUCKNOW SUPER GIANTS,IPL
Amit Mishra,LUCKNOW SUPER GIANTS,IPL
Naveen-ul-Haq,LUCKNOW SUPER GIANTS,IPL
Manimaran Siddharth,LUCKNOW SUPER GIANTS,IPL
Rohit Sharma,MUMBAI INDIANS,IPL
Dewald Brevis,MUMBAI INDIANS,IPL
Suryakumar Yadav,MUMBAI INDIANS,IPL
Ishan Kishan,MUMBAI INDIANS,IPL
Tilak Varma,MUMBAI INDIANS,IPL
Tim David,MUMBAI INDIANS,IPL
Vishnu Vinod,MUMBAI INDIANS,IPL
Mohammad Nabi,MUMBAI INDIANS,IPL
Arjun Tendulkar,MUMBAI INDIANS,IPL
Romario Shepherd,MUMBAI INDIANS,IPL
Shams Mulani,MUMBAI INDIANS,IPL
Nehal Wadhera,MUMBAI INDIANS,IPL
Hardik Pandya,MUMBAI INDIANS,IPL
Gerald Coetzee,MUMBAI INDIANS,IPL
Anshul Kamboj,MUMBAI INDIANS,IPL
Naman Dhir,MUMBAI INDIANS,IPL
Shivalik Sharma,MUMBAI INDIANS,IPL
Jasprit Bumrah,MUMBAI INDIANS,IPL
Kumar Kartikeya,MUMBAI INDIANS,IPL
Piyush Chawla,MUMBAI INDIANS,IPL
Akash Madhwal,MUMBAI INDIANS,IPL
Jason Behrendorff,MUMBAI INDIANS,IPL
Dilshan Madushanka,MUMBAI INDIANS,IPL
Shreyas Gopal,MUMBAI INDIANS,IPL
Nuwan Thushara,MUMBAI INDIANS,IPL
Luke Wood,MUMBAI INDIANS,IPL
Shikhar Dhawan,PUNJAB KINGS,IPL
Jitesh Sharma,PUNJAB KINGS,IPL
Jonny Bairstow,PUNJAB KINGS,IPL
Prabhsimran Singh,PUNJAB KINGS,IPL
Liam Livingstone,PUNJAB KINGS,IPL
Harpreet Singh,PUNJAB KINGS,IPL
Rilee Rossouw,PUNJAB KINGS,IPL
Shashank Singh,PUNJAB KINGS,IPL
Chris Woakes,PUNJAB KINGS,IPL
Vishwanath Pratap Singh,PUNJAB KINGS,IPL
Ashutosh Sharma,PUNJAB KINGS,IPL
Tanay Thyagarajan,PUNJAB KINGS,IPL
Atharva Taide,PUNJAB KINGS,IPL
Rishi Dhawan,PUNJAB KINGS,IPL
Sam Curran,PUNJAB KINGS,IPL
Sikandar Raza,PUNJAB KINGS,IPL
Shivam Singh,PUNJAB KINGS,IPL
Prince Choudhary,PUNJAB KINGS,IPL
Harpreet Brar,PUNJAB KINGS,IPL
Arshdeep Singh,PUNJAB KINGS,IPL
Kagiso Rabada,PUNJAB KINGS,IPL
Nathan Ellis,PUNJAB KINGS,IPL
Rahul Chahar,PUNJAB KINGS,IPL
Vidwath Kaverappa,PUNJAB KINGS,IPL
Harshal Patel,PUNJAB KINGS,IPL
Sanju Samson,RAJASTHAN ROYALS,IPL
Jos Buttler,RAJASTHAN ROYALS,IPL
Shimron Hetmyer,RAJASTHAN ROYALS,IPL
Yashasvi Jaiswal,RAJASTHAN ROYALS,IPL
Dhruv Jurel,RAJASTHAN ROYALS,IPL
Riyan Parag,RAJASTHAN ROYALS,IPL
